open_time,BTCUSDT,ETHUSDT,XRPUSDT
2021-04-02 14:30:00,59050.0,2023.04,0.57925
2021-04-02 15:00:00,59340.01,2054.67,0.57977
2021-04-02 15:30:00,59344.15,2062.68,0.58126
2021-04-02 16:00:00,59254.35,2040.67,0.5816
2021-04-02 16:30:00,59152.57,2050.2,0.58972
2021-04-02 17:00:00,59088.61,2043.78,0.59036
2021-04-02 17:30:00,59082.0,2048.31,0.58504
2021-04-02 18:00:00,59070.08,2048.09,0.58783
2021-04-02 18:30:00,59000.0,2046.14,0.58825
2021-04-02 19:00:00,58525.01,2031.11,0.58285
2021-04-02 19:30:00,58735.38,2055.0,0.588
2021-04-02 20:00:00,58763.0,2061.0,0.59052
2021-04-02 20:30:00,58568.63,2073.1,0.59419
2021-04-02 21:00:00,58428.57,2078.41,0.59616
2021-04-02 21:30:00,58671.29,2082.94,0.59506
2021-04-02 22:00:00,58639.17,2084.09,0.59624
2021-04-02 22:30:00,58752.03,2092.45,0.59235
2021-04-02 23:00:00,58733.97,2110.07,0.57087
2021-04-02 23:30:00,58942.85,2127.8,0.60062
2021-04-03 00:00:00,58931.3,2106.11,0.6069
2021-04-03 00:30:00,59027.51,2106.4,0.60623
2021-04-03 01:00:00,59211.59,2103.34,0.61096
2021-04-03 01:30:00,59003.0,2079.89,0.62092
2021-04-03 02:00:00,59124.32,2080.0,0.62416
2021-04-03 02:30:00,59169.36,2096.66,0.61751
2021-04-03 03:00:00,59250.0,2100.0,0.62022
2021-04-03 03:30:00,59153.16,2089.0,0.61762
2021-04-03 04:00:00,59191.98,2087.51,0.62222
2021-04-03 04:30:00,59266.61,2093.16,0.62373
2021-04-03 05:00:00,59322.13,2093.05,0.62431
2021-04-03 05:30:00,59319.93,2092.36,0.63061
2021-04-03 06:00:00,59270.0,2101.31,0.63362
2021-04-03 06:30:00,59180.0,2112.33,0.63185
2021-04-03 07:00:00,59275.0,2108.19,0.63037
2021-04-03 07:30:00,59280.0,2110.0,0.62909
2021-04-03 08:00:00,59300.0,2111.34,0.6222
2021-04-03 08:30:00,58750.96,2087.52,0.61
2021-04-03 09:00:00,58814.28,2067.28,0.60741
2021-04-03 09:30:00,59113.11,2088.89,0.61614
2021-04-03 10:00:00,59383.85,2103.19,0.61871
2021-04-03 10:30:00,59338.14,2096.99,0.62289
2021-04-03 11:00:00,59250.0,2095.27,0.623
2021-04-03 11:30:00,59194.0,2096.17,0.61992
2021-04-03 12:00:00,59124.83,2088.41,0.6186
2021-04-03 12:30:00,59187.26,2097.47,0.6248
2021-04-03 13:00:00,59156.4,2098.26,0.62589
2021-04-03 13:30:00,59330.31,2106.42,0.62276
2021-04-03 14:00:00,59275.67,2106.17,0.62625
2021-04-03 14:30:00,59119.0,2090.77,0.627
2021-04-03 15:00:00,59008.2,2083.07,0.62311
2021-04-03 15:30:00,58800.0,2069.18,0.61643
2021-04-03 16:00:00,58600.0,2049.25,0.61355
2021-04-03 16:30:00,58684.64,2063.92,0.60161
2021-04-03 17:00:00,58196.44,2021.31,0.58785
2021-04-03 17:30:00,58177.77,2029.7,0.5935
2021-04-03 18:00:00,57707.7,1996.3,0.58359
2021-04-03 18:30:00,58266.61,2049.56,0.59613
2021-04-03 19:00:00,58352.0,2064.13,0.60242
2021-04-03 19:30:00,58160.34,2068.01,0.59949
2021-04-03 20:00:00,58200.0,2077.2,0.59556
2021-04-03 20:30:00,57851.28,2040.0,0.59046
2021-04-03 21:00:00,57690.38,2049.83,0.58862
2021-04-03 21:30:00,57500.0,2025.31,0.573
2021-04-03 22:00:00,57257.0,2008.16,0.5757
2021-04-03 22:30:00,57088.27,2012.1,0.57373
2021-04-03 23:00:00,57350.64,2022.18,0.58158
2021-04-03 23:30:00,56880.0,2007.28,0.57685
2021-04-04 00:00:00,56507.91,1975.24,0.56591
2021-04-04 00:30:00,56598.07,2000.03,0.57651
2021-04-04 01:00:00,56388.0,1979.0,0.57412
2021-04-04 01:30:00,56612.82,1986.29,0.58108
2021-04-04 02:00:00,56933.46,2010.09,0.5854
2021-04-04 02:30:00,57241.78,2013.36,0.58822
2021-04-04 03:00:00,57200.0,1998.03,0.58908
2021-04-04 03:30:00,57228.85,2000.35,0.58522
2021-04-04 04:00:00,57420.08,2008.78,0.58754
2021-04-04 04:30:00,57380.95,2009.5,0.588
2021-04-04 05:00:00,57447.41,2010.9,0.58654
2021-04-04 05:30:00,57290.0,2005.0,0.584
2021-04-04 06:00:00,57139.02,2002.32,0.58198
2021-04-04 06:30:00,57220.45,2009.35,0.58551
2021-04-04 07:00:00,57334.84,2012.99,0.58767
2021-04-04 07:30:00,57248.79,2017.47,0.585
2021-04-04 08:00:00,57402.3,2028.39,0.58901
2021-04-04 08:30:00,57413.81,2033.77,0.59096
2021-04-04 09:00:00,57429.84,2036.76,0.59285
2021-04-04 09:30:00,57487.63,2038.46,0.59461
2021-04-04 10:00:00,57555.85,2049.28,0.59205
2021-04-04 10:30:00,57525.99,2046.22,0.59051
2021-04-04 11:00:00,57577.22,2047.61,0.59077
2021-04-04 11:30:00,57033.85,2038.72,0.5845
2021-04-04 12:00:00,57000.0,2032.96,0.58385
2021-04-04 12:30:00,57710.0,2060.74,0.59124
2021-04-04 13:00:00,57754.61,2066.64,0.59216
2021-04-04 13:30:00,57939.67,2073.25,0.59241
2021-04-04 14:00:00,58062.77,2080.0,0.59433
2021-04-04 14:30:00,58010.41,2080.0,0.60278
2021-04-04 15:00:00,58060.4,2080.68,0.60019
2021-04-04 15:30:00,57703.49,2070.17,0.59759
2021-04-04 16:00:00,57684.29,2064.21,0.59652
2021-04-04 16:30:00,57866.85,2065.69,0.5974
2021-04-04 17:00:00,58030.88,2070.5,0.59926
2021-04-04 17:30:00,58085.0,2075.73,0.60637
2021-04-04 18:00:00,58113.76,2073.29,0.60814
2021-04-04 18:30:00,57959.3,2067.58,0.60811
2021-04-04 19:00:00,57824.91,2055.13,0.6034
2021-04-04 19:30:00,57758.34,2057.21,0.60388
2021-04-04 20:00:00,57826.16,2052.49,0.60754
2021-04-04 20:30:00,57826.17,2051.24,0.60527
2021-04-04 21:00:00,57976.73,2057.58,0.60767
2021-04-04 21:30:00,58002.56,2061.21,0.60934
2021-04-04 22:00:00,57886.15,2056.48,0.61061
2021-04-04 22:30:00,58087.08,2063.42,0.61679
2021-04-04 23:00:00,58106.78,2070.16,0.62019
2021-04-04 23:30:00,58136.8,2075.0,0.62424
2021-04-05 00:00:00,57988.09,2066.0,0.62531
2021-04-05 00:30:00,57890.97,2053.87,0.62051
2021-04-05 01:00:00,57638.33,2050.2,0.6194
2021-04-05 01:30:00,57674.73,2052.23,0.63861
2021-04-05 02:00:00,57427.98,2039.04,0.64752
2021-04-05 02:30:00,57535.02,2041.67,0.678
2021-04-05 03:00:00,57464.27,2037.2,0.6716
2021-04-05 03:30:00,57320.0,2022.2,0.67441
2021-04-05 04:00:00,57291.73,2020.02,0.6776
2021-04-05 04:30:00,57272.05,2021.99,0.6881
2021-04-05 05:00:00,56972.86,2013.0,0.69103
2021-04-05 05:30:00,56855.55,2006.28,0.68197
2021-04-05 06:00:00,56790.57,2002.15,0.6774
2021-04-05 06:30:00,57092.25,2010.28,0.66511
2021-04-05 07:00:00,57003.29,2009.17,0.65877
2021-04-05 07:30:00,56947.64,2015.07,0.67724
2021-04-05 08:00:00,56777.77,2010.99,0.678
2021-04-05 08:30:00,56964.99,2014.98,0.6795
2021-04-05 09:00:00,56980.0,2017.36,0.68926
2021-04-05 09:30:00,57336.83,2032.36,0.69923
2021-04-05 10:00:00,57400.68,2035.03,0.70153
2021-04-05 10:30:00,57324.77,2033.44,0.6983
2021-04-05 11:00:00,57507.69,2042.0,0.70276
2021-04-05 11:30:00,57591.09,2045.0,0.69906
2021-04-05 12:00:00,57754.67,2053.6,0.69984
2021-04-05 12:30:00,57772.11,2054.51,0.69247
2021-04-05 13:00:00,57746.74,2053.4,0.68456
2021-04-05 13:30:00,57873.69,2057.81,0.68771
2021-04-05 14:00:00,58113.06,2080.16,0.69443
2021-04-05 14:30:00,58347.63,2105.08,0.70257
2021-04-05 15:00:00,58850.0,2101.22,0.71601
2021-04-05 15:30:00,58900.45,2103.79,0.72093
2021-04-05 16:00:00,58853.14,2101.11,0.74877
2021-04-05 16:30:00,58920.26,2100.0,0.80829
2021-04-05 17:00:00,58637.79,2091.5,0.79687
2021-04-05 17:30:00,58610.0,2087.99,0.80805
2021-04-05 18:00:00,58732.08,2093.98,0.81376
2021-04-05 18:30:00,58749.79,2094.19,0.81111
2021-04-05 19:00:00,58837.64,2097.43,0.82
2021-04-05 19:30:00,58800.0,2096.14,0.81544
2021-04-05 20:00:00,58921.53,2098.91,0.83155
2021-04-05 20:30:00,58737.7,2102.0,0.84669
2021-04-05 21:00:00,58646.11,2104.0,0.86361
2021-04-05 21:30:00,58479.59,2104.03,0.88422
2021-04-05 22:00:00,58664.04,2106.87,0.85747
2021-04-05 22:30:00,58749.48,2107.96,0.884
2021-04-05 23:00:00,58533.1,2084.12,0.87275
2021-04-05 23:30:00,58619.11,2092.85,0.88006
2021-04-06 00:00:00,59043.47,2107.43,0.8925
2021-04-06 00:30:00,59118.33,2122.22,0.87311
2021-04-06 01:00:00,58888.0,2122.39,0.7931
2021-04-06 01:30:00,58728.1,2118.51,0.84019
2021-04-06 02:00:00,58635.72,2107.56,0.85534
2021-04-06 02:30:00,58735.39,2114.13,0.84503
2021-04-06 03:00:00,58712.27,2123.87,0.84779
2021-04-06 03:30:00,58600.0,2113.0,0.86554
2021-04-06 04:00:00,58601.87,2113.84,0.8655
2021-04-06 04:30:00,58725.0,2115.0,0.87877
2021-04-06 05:00:00,58755.56,2121.9,0.87468
2021-04-06 05:30:00,58822.84,2127.55,0.87253
2021-04-06 06:00:00,58618.0,2120.27,0.85504
2021-04-06 06:30:00,58777.63,2127.56,0.86546
2021-04-06 07:00:00,58700.0,2118.71,0.88304
2021-04-06 07:30:00,58349.0,2090.0,0.88441
2021-04-06 08:00:00,58300.0,2087.01,0.89171
2021-04-06 08:30:00,58423.0,2085.84,0.94341
2021-04-06 09:00:00,58419.75,2084.23,0.94739
2021-04-06 09:30:00,58524.92,2107.59,0.959
2021-04-06 10:00:00,58350.0,2107.47,1.008
2021-04-06 10:30:00,58333.02,2098.04,1.01666
2021-04-06 11:00:00,58325.08,2098.39,0.99417
2021-04-06 11:30:00,58374.8,2100.0,0.9691
2021-04-06 12:00:00,58489.36,2112.75,0.94556
2021-04-06 12:30:00,58442.89,2107.5,0.97895
2021-04-06 13:00:00,58471.36,2107.27,0.97912
2021-04-06 13:30:00,58342.0,2098.5,0.93232
2021-04-06 14:00:00,57443.44,2044.65,0.89
2021-04-06 14:30:00,57413.02,2057.14,0.91311
2021-04-06 15:00:00,57644.8,2066.97,0.91904
2021-04-06 15:30:00,57622.0,2066.51,0.9108
2021-04-06 16:00:00,57722.23,2074.88,0.93247
2021-04-06 16:30:00,58000.01,2089.22,0.97
2021-04-06 17:00:00,58000.0,2098.84,0.98005
2021-04-06 17:30:00,58118.51,2107.68,0.95945
2021-04-06 18:00:00,57996.01,2108.58,0.93306
2021-04-06 18:30:00,58011.79,2112.0,0.97091
2021-04-06 19:00:00,58022.84,2103.59,0.95
2021-04-06 19:30:00,57996.0,2100.3,0.99071
2021-04-06 20:00:00,57999.99,2108.37,1.04014
2021-04-06 20:30:00,58154.28,2115.0,1.0161
2021-04-06 21:00:00,57723.44,2099.19,0.99799
2021-04-06 21:30:00,57555.0,2085.0,0.97828
2021-04-06 22:00:00,57483.71,2097.48,0.9961
2021-04-06 22:30:00,57813.34,2107.81,1.02356
2021-04-06 23:00:00,57832.34,2106.63,1.05001
2021-04-06 23:30:00,57975.0,2111.0,1.05941
2021-04-07 00:00:00,57914.7,2108.29,1.05178
2021-04-07 00:30:00,57500.53,2087.17,1.0357
2021-04-07 01:00:00,57161.86,2080.05,1.02871
2021-04-07 01:30:00,57323.17,2088.33,1.04235
2021-04-07 02:00:00,57475.86,2096.65,1.06287
2021-04-07 02:30:00,57670.0,2102.8,1.0638
2021-04-07 03:00:00,57677.68,2103.71,1.07448
2021-04-07 03:30:00,57842.0,2101.4,1.04501
