,Binance Official,Backtest,Bitcoin,tracking_error
2023-05-18,0.02766076982959431,0.025535100111773623,-0.02910359651081329,0.0021256697178206885
2023-05-19,-0.001369095930685349,-0.0008854863249507794,0.001725003381811474,-0.00048360960573456957
2023-05-20,-0.0020985923520789873,-0.00036571970706900103,0.017343561038488442,-0.0017328726450099863
2023-05-21,1.4941354771424997e-05,0.0014708741271509673,-0.02933189383954149,-0.0014559327723795423
2023-05-22,-5.7282251917145643e-05,0.0009605976443856079,0.04063851107908456,-0.0010178798963027536
2023-05-23,0.006015915026049479,0.011380024562450686,-0.03182667091027147,-0.005364109536401207
2023-05-24,0.007997860853000915,0.014117722036961045,-0.03372730765052445,-0.006119861183960129
2023-05-25,0.004913157813006164,-0.002637330074828359,0.014402646223436788,0.007550487887834523
2023-05-26,-0.0027590247581552596,0.005995364961363769,0.01797947731693572,-0.008754389719519029
2023-05-27,-0.0008174391921166313,-0.0034736852934771356,0.024404156698565327,0.0026562461013605043
2023-05-28,0.030235906258478717,0.03127542885256984,0.04235902577826911,-0.0010395225940911246
2023-05-29,0.0011792176513139019,-0.0019453960853739183,-0.006747990251471325,0.00312461373668782
2023-05-30,-0.002065886944775941,0.0014845050196350407,-0.009267593821317144,-0.0035503919644109816
2023-05-31,0.005286939715673178,0.014161393715166781,-0.04758383775127539,-0.008874453999493603
2023-06-01,-0.002543017292582439,-0.00285505314275758,0.012327142005225333,0.0003120358501751408
2023-06-02,0.010343490607530814,0.014021643689925423,0.007954997053704949,-0.0036781530823946085
2023-06-03,-0.0025328064924922122,-0.0037128144628297832,-0.004522127088921302,0.001180007970337571
2023-06-04,0.007067070095083228,0.0058810100845678726,-0.012072559519344273,0.0011860600105153551
2023-06-05,0.0020276188420746966,0.0023061891766582576,-0.06217913638163819,-0.00027857033458356106
2023-06-06,0.01754486234965258,0.017912854221595165,0.06868297680253743,-0.00036799187194258565
2023-06-07,-0.008513656796792723,-0.01714972679864557,-0.0314866656186894,0.008636070001852847
2023-06-08,-0.0010503755728952235,0.007976512171287808,0.00794464503707637,-0.009026887744183032
2023-06-09,0.003467896542364235,0.00328286733937011,-0.009097297242188107,0.00018502920299412473
2023-06-10,0.013037656831034639,0.02283002062189521,-0.03393753084271722,-0.00979236379086057
2023-06-11,3.7140858323958525e-05,0.003193075268102419,0.0037185876130263473,-0.0031559344097784603
2023-06-12,0.007499838150806015,0.009965918647053762,0.015851863167758662,-0.0024660804962477467
2023-06-13,-0.00029285183807836734,-0.00615069649462896,-0.004534441381454313,0.005857844656550593
2023-06-14,-0.03020088526541098,-0.03030338401325494,-0.02654534952007026,0.00010249874784395985
2023-06-15,0.01310848682379806,0.01826802581138587,0.029706347607354466,-0.005159538987587808
2023-06-16,-0.0029317554418498704,-0.0006825475102818501,0.04110164601406385,-0.0022492079315680202
2023-06-17,0.0030562385021619676,0.0046304255557569896,0.016351847543444098,-0.001574187053595022
2023-06-18,-0.011406319141525456,-0.011022764781076333,-0.008198215640379702,-0.00038355436044912317
2023-06-19,-0.0037088917538391497,-0.003725913910987977,0.028017456869125823,1.7022157148827155e-05
2023-06-20,0.004649961283546888,0.002485157756908496,0.1012000432769562,0.0021648035266383925
2023-06-21,-0.0015616375921029269,-0.0024542476528961465,0.08279971370007977,0.0008926100607932197
2023-06-22,-0.011027431518094488,-0.0002004067715350999,-0.014260793504092595,-0.010827024746559388
2023-06-23,-0.017901374186041208,-0.01566452422703435,0.03609191158215519,-0.002236849959006859
2023-06-24,-0.005209514717502084,-0.006268547671844704,0.0009010738691848097,0.0010590329543426202
2023-06-25,0.009995450574572295,0.023339146703667435,-0.022055250897117018,-0.01334369612909514
2023-06-26,0.007496931472298574,0.00351197551885285,0.0037237158931675562,0.0039849559534457235
2023-06-27,-0.0004194929949432602,-0.0004362817837306743,0.004009342951104999,1.6788788787414077e-05
2023-06-28,-0.03331059887786614,-0.012241340258613675,-0.013631285723387121,-0.021069258619252462
2023-06-29,-0.003620293743690217,-0.00024369414532321443,0.028287049310709245,-0.0033765995983670027
2023-06-30,0.004990079043985185,0.010511829864186417,-0.016931500540250388,-0.005521750820201232
2023-07-01,-0.0002916030192026131,0.0015350854019948734,0.005491147120766371,-0.0018266884211974865
2023-07-02,0.01149753358768213,0.02057476390928592,0.012161045976145424,-0.00907723032160379
2023-07-03,0.001792043528736409,0.0028732616320299442,0.021411467113614968,-0.0010812181032935353
2023-07-04,-0.005986586382259906,-0.0070826908940460065,-0.015721888415319185,0.0010961045117861001
2023-07-05,-0.0021856642667689163,0.0022884275794012865,-0.01836131150281206,-0.004474091846170203
2023-07-06,-0.0012059285324499402,0.0005244831480135659,-0.017485901508158097,-0.0017304116804635061
2023-07-07,-0.00039455360978402076,0.003708605889686467,0.00693917885968709,-0.004103159499470488
2023-07-08,-0.004622470412503743,-0.00523819392398428,0.0006525224592590639,0.0006157235114805371
2023-07-09,-0.004912332102860795,-0.0019046189686307002,-0.006528330206131638,-0.0030077131342300945
2023-07-10,-0.00401538716271943,0.003427655583509548,0.01590818727975174,-0.007443042746228978
2023-07-11,0.002198580514305881,0.007335332639831105,0.005528778556495251,-0.0051367521255252235
2023-07-12,-0.0031029036390396447,-0.009262921793703693,-0.014236316345585198,0.006160018154664049
2023-07-13,-0.003079138359349809,-0.02557554629875991,0.05967025557124073,0.0224964079394101
2023-07-14,-0.003184653256044112,,,
2023-07-15,0.000797331206582097,,,
